,seed,n_frames,min_lambda,min_loss,min_avg,gbar,lim_loss,lim_loss_num,lim_chi2,lim_dkl,dV
60,10,35,[-7.23122825],3.0251073837280273,[0.39813863],0.506948399898999,3.7545797536663166,3.7525487,3.9538581,3.551239,0.7274413108825684
61,11,35,[-6.06911791],2.4186038970947266,[0.60755808],0.7832743873497603,2.9448765986460366,2.944882,2.3344052,3.555359,0.526278018951416
62,12,35,[-5.55730609],2.1872730255126953,[0.69872213],0.8876946936230704,2.6941183512559808,2.6941237,1.8328885,3.555359,0.5068507194519043
63,13,35,[-4.98392951],1.691133975982666,[0.80278571],0.9719813873124579,2.5138005591051145,2.5138059,1.4722531,3.555359,0.8226718902587891
64,14,35,[-3.30979524],1.3649063110351562,[1.10424355],1.3697904090580937,1.9291162167864027,1.9291216,0.3028844,3.555359,0.5642153024673462
65,15,35,[-4.93074276],1.9180835485458374,[0.81222521],1.0470424929513187,2.3698316779825244,2.3698373,1.1843154,3.555359,0.45175373554229736
66,16,35,[-5.59710346],2.1412458419799805,[0.69252137],0.9089230493644717,2.6468445055041596,2.64685,1.7383411,3.555359,0.5056042671203613
67,17,35,[-4.81018519],1.836276650428772,[0.8341287],1.0130587674608882,2.4330743876368652,2.4330797,1.3108008,3.555359,0.5968030691146851
68,18,35,[-3.56078],1.4223806858062744,[1.05908968],1.4169847032914324,1.8889207782044826,1.8889263,0.22249359,3.555359,0.46654558181762695
69,19,35,[-5.09574753],2.179293632507324,[0.78274536],1.000575277606583,2.457111450599024,2.4571168,1.3588747,3.555359,0.27782320976257324
70,20,35,[-4.72807504],2.0237722396850586,[0.84894545],1.0684875824480378,2.3315739384146013,2.3315794,1.1078001,3.555359,0.30780720710754395
71,21,35,[-4.81389287],1.7337764501571655,[0.83347653],1.09160700073632,2.2917601995683956,2.2917657,1.0281724,3.555359,0.557989239692688
72,22,35,[-4.56096069],1.636948823928833,[0.87845129],1.0777656392006463,2.3154179192994016,2.3154235,1.0754881,3.555359,0.6784746646881104
73,23,35,[-3.48541779],1.4271066188812256,[1.07247464],1.4086045082421215,1.895606437156951,1.8956119,0.23586486,3.555359,0.46850526332855225
74,24,35,[-5.10901057],1.9434218406677246,[0.78032695],0.981919816942057,2.4938395158843303,2.493845,1.4323311,3.555359,0.5504231452941895
75,25,35,[-4.54121896],1.7658754587173462,[0.88258035],1.1146819125679248,2.253503563349071,2.253509,0.95165896,3.555359,0.4876335859298706
